레저상품코드,레저상품명,시설도로명주소,시설위도,시설경도,레저메인썸네일URL,레저상세이미지URL,시설전화번호
10022269,[부산 해운대] 부산 요트투어 요트와 특가,대한민국 부산광역시 해운대구 해운대해변로 84,35.160587310791016,129.13995361328125,https://image6.yanolja.com/leisure/MsI9WehdYesOI7pZ,"[https://image6.yanolja.com/leisure/x35F4oC3xX94TSBr, https://image6.yanolja.com/leisure/9Cc6oe2Edb5J1zWM, https://image6.yanolja.com/leisure/SBm7xbuPYxdBQlDa, https://image6.yanolja.com/leisure/2OZbP50b6Mjue6OI, https://image6.yanolja.com/leisure/TwoAz5Qb0pYPeKwc, https://image6.yanolja.com/leisure/yvP8W25xgulZBjQe, https://image6.yanolja.com/leisure/IBYIZgGRfoL1LWBG, https://image6.yanolja.com/leisure/DHSSfFUzi1dWno7v, https://image6.yanolja.com/leisure/6jIN0IAUS42Ajf3V]",010-8960-3888
10022279,[부산 해운대] 부산 요트투어 요트G 퍼블릭투어,부산광역시 해운대구 해운대해변로 84,35.16057586669922,129.14102172851562,https://image6.yanolja.com/leisure/vGgpTdPL2zFgMl6L,[https://image6.yanolja.com/leisure/vGgpTdPL2zFgMl6L],1899-3031
10022252,[부산 해운대] 부산 요트투어 더베이,대한민국 부산광역시 해운대구 해운대해변로 84,35.160587310791016,129.13995361328125,https://image6.yanolja.com/leisure/1jQMSex6wlYd5ZxJ,"[https://image6.yanolja.com/leisure/1jQMSex6wlYd5ZxJ, https://image6.yanolja.com/leisure/Rv50YFB3UYJIqz9d, https://image6.yanolja.com/leisure/8Wcv4YcGAIUTWQbF, https://image6.yanolja.com/leisure/xaJeGsCy2LV47co1]",010-5530-4449
10022254,★얼리버드특가★쏠비치 양양 오션플레이 하이시즌 (6/3~7/14),대한민국 강원도 양양군 손양면 오산리 23-4,38.0882682800293,128.6658935546875,https://image6.yanolja.com/leisure/2xdodOOgUh3sSx15,"[https://image6.yanolja.com/leisure/8frUKccGIWw7N4K1, https://image6.yanolja.com/leisure/zikAX0yINhufbGyG, https://image6.yanolja.com/leisure/qqu2rZsluAdhPiPA, https://image6.yanolja.com/leisure/vpzPwUFPCKBy0mMg, https://image6.yanolja.com/leisure/SC8BwssT5IG91Phy]",1588-4888
10019783,[강원 평창] 휘닉스평창 블루캐니언 연간이용권,대한민국 강원도 평창군 봉평면 태기로 174,37.58127975463867,128.3273468017578,https://image6.yanolja.com/leisure/s9Jo8nD0MFYSq4Bt,[https://image6.yanolja.com/leisure/iGQzS0s1jHHmJjkI],1661-1063
10019786,[가평] 가평빠지/수상레저 수상레저V 무제한이용권(바베큐맛집),대한민국 강원도 춘천시 남산면 방하로 487,37.7773323059082,127.53824615478516,https://image6.yanolja.com/leisure/9lWRPUYizPcqS2Mb,[https://image6.yanolja.com/leisure/EYEtu8YnbUd9HEyb],-
10019793,[2023] 허브아일랜드 입장권 (5.1~5.31),대한민국 경기도 포천시 신북면 삼정리 389,37.96730422973633,127.13322448730467,https://image6.yanolja.com/leisure/BMejtaQuX70yRziP,[https://image6.yanolja.com/leisure/Jsv4lvzhPNYwj1E9],031-535-6494
10019799,[4~6월] 곤지암루지360 2023시즌 이용권,대한민국 경기도 광주시 도척면 도척윗로 278,37.33706283569336,127.30261993408205,https://image6.yanolja.com/leisure/RK9G4UTdvt3uTJun,[https://image6.yanolja.com/leisure/5pTdPH8RXDNG2SK7],070-4647-1854
10019802,[강원 삼척] 슈퍼윙스 키즈카페 하이원추추파크점,대한민국 강원도 삼척시 도계읍 심포남길,37.18218612670898,129.03782653808594,https://image6.yanolja.com/leisure/uTYucmRQmA9SC6nG,[https://image6.yanolja.com/leisure/h8OEOfy0YENyD6tT],033-550-7775
10019803,[경주] 야경명소! 경주엑스포대공원 빛과 환상의나라 원더랜드,대한민국 경상북도 경주시 경감로 614,35.832000732421875,129.28958129882812,https://image6.yanolja.com/leisure/lZHSxmqiusQfVAvD,[https://image6.yanolja.com/leisure/0O0dwt4o7RjiQ8sH],054-740-3960
10019804,[경기 용인] 루프앤클라우드 스포츠 테마파크,대한민국 경기도 용인시 기흥구 신고매로 59,37.22372055053711,127.11486053466795,https://image6.yanolja.com/leisure/uIGz4sSim5dSFT2I,[https://image6.yanolja.com/leisure/j5UpR2VvX18yun51],031-274-3093
10019809,[이천] 피아뜰 돼지보러오면돼지박물관 입장권,대한민국 경기도 이천시 율면 임오산로372번길 133,37.085575103759766,127.5834503173828,https://image6.yanolja.com/leisure/hRWTiYssZk9okR2h,[https://image6.yanolja.com/leisure/NMSFyCCtRrkKSpaf],0507-1366-7540
10019817,[제주] 카멜리아힐 1+1 입장권,대한민국 제주특별자치도 서귀포시 안덕면 병악로 166,33.29011535644531,126.368408203125,https://image6.yanolja.com/leisure/Xr9oW82pBm782JjE,"[https://image6.yanolja.com/leisure/Ka9GCgctUwSkxkpm, https://image6.yanolja.com/leisure/em58Ez1w2GNuDuu6, https://image6.yanolja.com/leisure/SLpy53NuPpWlCk7d, https://image6.yanolja.com/leisure/hUPo1pPZJwNBXbI0, https://image6.yanolja.com/leisure/oIq1ko8E3jhwXDNL]",064-800-6296
10019828,[제주] 제주신화월드 스카이 온 파이브 다이닝 뷔페권,대한민국 제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,33.30717849731445,126.31743621826172,https://image6.yanolja.com/leisure/SeBNPOfH8qWNdQBQ,"[https://image6.yanolja.com/leisure/85hnluDlfd3pkCuD, https://image6.yanolja.com/leisure/BUBti0Hje2deybqJ, https://image6.yanolja.com/leisure/QiWe3fwMQbZfvoB8, https://image6.yanolja.com/leisure/3i22vKjG63Pbl2Jh, https://image6.yanolja.com/leisure/aogaUhk2sScCyvhg]",064-908-1200
10019829,[제주] 방림원,대한민국 제주특별자치도 제주시 한경면 저지리 2120-91,33.3371467590332,126.26853942871094,https://image6.yanolja.com/leisure/k1ExdUnx8JOe4LYQ,"[https://image6.yanolja.com/leisure/OmBTFcmAikyGJ2TG, https://image6.yanolja.com/leisure/TjQnwgZsE7FtOKQp, https://image6.yanolja.com/leisure/o2Q0CBTEb2B2vsJX, https://image6.yanolja.com/leisure/YWik1BQBERF72yHs, https://image6.yanolja.com/leisure/QapMUmDQkDrOixoZ]",0507-1422-0187
10019931,[제주] 아일랜드 플라워 동물원,대한민국 제주특별자치도 서귀포시 성산읍 서성일로 602,33.42422866821289,126.84994506835938,https://image6.yanolja.com/leisure/mhmxhvWYG7fZEfUt,"[https://image6.yanolja.com/leisure/tR3gaEbPAD6yjSKG, https://image6.yanolja.com/leisure/cvcaX88dqbBx4zSf, https://image6.yanolja.com/leisure/HnOsNE8ZU2esjyCb, https://image6.yanolja.com/leisure/ryLM5HZcY4Rq2Y1m]",064-782-0955
10019932,[릴레이특가] 대구 이월드 자유이용권 특가,대한민국 대구광역시 달서구 두류동 산302-11,35.85402297973633,128.56341552734375,https://image6.yanolja.com/leisure/EVWTMxNoLU0c6ApY,"[https://image6.yanolja.com/leisure/AXoL2B5Gbbm5RmJW, https://image6.yanolja.com/leisure/EPDG0JJMozYpBr2z, https://image6.yanolja.com/leisure/X1aHh3Ck8BBefhzn, https://image6.yanolja.com/leisure/x7ggs7vdXBheThlJ, https://image6.yanolja.com/leisure/GI3t69pgXKYAZQhJ]",053-620-0001
10019944,[충북 증평] 벨포레 루지&사계절썰매장 패키지 이용권 (~7/31),대한민국 충청북도 증평군 도안면 벨포레길 346,36.84526062011719,127.58370208740234,https://image6.yanolja.com/leisure/tHdXEMQWtw4lHZL3,[https://image6.yanolja.com/leisure/An6ZuG91sJGWT9PF],043-926-1095
10019945,★얼리버드★ [강원] 하이원리조트 워터월드 준성수기 (5/5~7/14),대한민국 강원도 정선군 고한읍 하이원길 424,37.20664978027344,128.8381805419922,https://image6.yanolja.com/leisure/ZbsywMwjblLwJoHI,"[https://image6.yanolja.com/leisure/OsmL8srNPEPg3nHn, https://image6.yanolja.com/leisure/bYpuRALjhMCxU4Fx, https://image6.yanolja.com/leisure/1iAsNXMKi7uuBuGe, https://image6.yanolja.com/leisure/qKj5BHYFrcQj8e3k, https://image6.yanolja.com/leisure/7MYmNs73xmfUQbKR]",1588-7789
10019948,[경기] 안성 배꽃길 61 (풀떼기 수집 체험/ 만들기 체험),대한민국 경기도 안성시 대덕면 배꽃길 61 KR,37.02999114990234,127.24061584472656,https://image6.yanolja.com/leisure/2Pxjy1FqsELd7n0c,[https://image6.yanolja.com/leisure/2Pxjy1FqsELd7n0c],031-671-6161
10019964,[충북 증평] 벨포레 루지&제트보트 패키지 이용권 (~7/31),대한민국 충청북도 증평군 도안면 벨포레길 346,36.84526062011719,127.58370208740234,https://image6.yanolja.com/leisure/p5OdFnEAAjC6vywI,[https://image6.yanolja.com/leisure/i5OOZjMq50WZOepD],043-926-1095
10019978,[충북 증평] 벨포레 목장 X 미디어아트센터 PKG (5-6월),대한민국 충청북도 증평군 도안면 연촌리 산40 KR,36.84518814086914,127.5832290649414,https://image6.yanolja.com/leisure/ZdXEQfrTwd4K6Tdc,[https://image6.yanolja.com/leisure/3eHjUKhB4FxgdfZD],043-926-1095
10019982,[강원] 설악 워터피아 하이시즌 통합권(~7/14),대한민국 강원도 속초시 미시령로2983번길 111,38.2081413269043,128.52725219726562,https://image6.yanolja.com/leisure/7KfrJAgoMuJCAwxM,[https://image6.yanolja.com/leisure/bXikk2sM19We7yjq],033-630-5800
10019988,[강원] 설악 워터피아 하이시즌 주간권(~7/14),대한민국 강원도 속초시 미시령로2983번길 111,38.2081413269043,128.52725219726562,https://image6.yanolja.com/leisure/SWEGFEwWxjM6MmYA,[https://image6.yanolja.com/leisure/g9EQi7gKw2lnQZDs],033-630-5800
10019989,[경주] 뽀로로아쿠아빌리지 종일권 (5월),대한민국 경상북도 경주시 보문로 182-27,35.860103607177734,129.2707061767578,https://image6.yanolja.com/leisure/dgz11XgJzavazFM4,[https://image6.yanolja.com/leisure/sByZsMZdcdrTk7Mk],054-777-8300
10019990,[강원] 설악 워터피아 하이시즌 나이트스파권(~7/14),대한민국 강원도 속초시 미시령로2983번길 111,38.2081413269043,128.52725219726562,https://image6.yanolja.com/leisure/5eItx91koSPHWpTP,[https://image6.yanolja.com/leisure/TYcEVOth0qwqn8zQ],033-630-5800
10019993,[충남 아산] 아산 스파비스,대한민국 충청남도 아산시 음봉면 아산온천로157번길 67,36.85530853271485,126.9781494140625,https://image6.yanolja.com/leisure/MkdazYeLi4bbHcjN,[https://image6.yanolja.com/leisure/95ei47uhLSy7Yc1F],1661-1063
10019994,[강원] 하이원리조트 워터월드 준성수기 이용권 (5/5~7/14),대한민국 강원도 정선군 고한읍 하이원길 424,37.20664978027344,128.8381805419922,https://image6.yanolja.com/leisure/JmzxqqkptvjLGAOK,"[https://image6.yanolja.com/leisure/mqrtKosXWmBUIRVd, https://image6.yanolja.com/leisure/aG9kqmQnXf7eAJn6, https://image6.yanolja.com/leisure/FqAEVW7Y1uJoq8Ss, https://image6.yanolja.com/leisure/9o07VLbLRpDjw8RN, https://image6.yanolja.com/leisure/8HdQA13vERQ3MsIn]",1588-7789
10019995,[야놀자] 아쿠아플라넷 여수 입장권&종합권 5월 특가,대한민국 전라남도 여수시 오동도로 61-11,34.746219635009766,127.7487335205078,https://image6.yanolja.com/leisure/eVctLrca1GYGUm7A,"[https://image6.yanolja.com/leisure/V823ZMusBmjNBR8o, https://image6.yanolja.com/leisure/GlURNVT8yOPnYyeN, https://image6.yanolja.com/leisure/3GKyWkYa6UkV6jDf, https://image6.yanolja.com/leisure/uB2134ed9TwNkqKM, https://image6.yanolja.com/leisure/y1vMH1mQtQWY5XBp]",1833-7001
10019998,[이천] 테르메덴,대한민국 경기도 이천시 모가면 사실로 984,37.194942474365234,127.44586944580078,https://image6.yanolja.com/leisure/SUxR4KasOqyLLhfW,[https://image6.yanolja.com/leisure/ED4vb02tu3FmRYzg],031-645-2000
10020001,[잠실] 롯데월드 어드벤처 어린이날기념 연휴특가,대한민국 서울특별시 송파구 올림픽로 240,37.51111602783203,127.0981674194336,https://image6.yanolja.com/leisure/p7b1LzqFSdm3r5Yf,"[https://image6.yanolja.com/leisure/Ljg1FaKCVq6nq7xF, https://image6.yanolja.com/leisure/DsiTpbpWiiFdAJKR, https://image6.yanolja.com/leisure/e5kVGbLZ32GlDbxL, https://image6.yanolja.com/leisure/uNRPdBPoPM8x5ptp, https://image6.yanolja.com/leisure/yCUTNN948MThQ7dX]",02-1661-2000
10020002,[찜카] 국내 렌트카 : 국내 할인권,대한민국 제주특별자치도 제주시 첨단로,33.45647430419922,126.57144927978516,https://image6.yanolja.com/leisure/6o2KfOTmTquEdHGV,[https://image6.yanolja.com/leisure/mUUGWyFGItD9Eeqr],070-4348-3333
