숙박유형명,평균판매금액,지역명,성수기여부
Hotel,88667,강원도 강릉시,비수기
Hotel,205885,강원도 강릉시,성수기
Hotel,96455,강원도 강릉시,비수기
Hotel,142178,강원도 강릉시,성수기
Hotel,65000,강원도 강릉시,비수기
Hotel,210079,강원도 강릉시,성수기
Hotel,95744,강원도 강릉시,비수기
Hotel,168000,강원도 강릉시,성수기
Hotel,108306,강원도 강릉시,성수기
Hotel,148795,강원도 강릉시,성수기
Hotel,216964,강원도 강릉시,성수기
Pension,188000,강원도 강릉시,성수기
Pension,171405,강원도 강릉시,성수기
Pension,132759,강원도 강릉시,성수기
Pension,100000,강원도 강릉시,성수기
Pension,203500,강원도 강릉시,성수기
Pension,122857,강원도 강릉시,성수기
Pension,178000,강원도 강릉시,성수기
Pension,162857,강원도 강릉시,성수기
Pension,148404,강원도 강릉시,성수기
Pension,130129,강원도 강릉시,성수기
Pension,155750,강원도 강릉시,성수기
Motel,39773,강원도 강릉시,비수기
Motel,84183,강원도 강릉시,비수기
Motel,62917,강원도 강릉시,비수기
Motel,44000,강원도 강릉시,비수기
Motel,46755,강원도 강릉시,비수기
Motel,50100,강원도 강릉시,비수기
Motel,52857,강원도 강릉시,비수기
Motel,130000,강원도 강릉시,성수기
Motel,50808,강원도 강릉시,비수기
Motel,48750,강원도 강릉시,비수기
Motel,65250,강원도 강릉시,비수기
Motel,43050,강원도 강릉시,비수기
Hotel,144500,강원도 고성군,성수기
Hotel,128148,강원도 고성군,성수기
Hotel,132746,강원도 고성군,성수기
Pension,154250,강원도 고성군,성수기
Pension,140346,강원도 고성군,성수기
Pension,200385,강원도 고성군,성수기
Motel,70400,강원도 고성군,비수기
Motel,87050,강원도 고성군,비수기
Hotel,98667,강원도 동해시,비수기
Hotel,92050,강원도 동해시,비수기
Pension,103333,강원도 동해시,성수기
Pension,108778,강원도 동해시,성수기
Pension,165000,강원도 동해시,성수기
Motel,48395,강원도 동해시,비수기
Motel,50313,강원도 동해시,비수기
Motel,31000,강원도 동해시,비수기
Motel,33500,강원도 동해시,비수기
Motel,52500,강원도 동해시,비수기
Hotel,146838,강원도 삼척시,성수기
Hotel,170556,강원도 삼척시,성수기
Pension,157840,강원도 삼척시,성수기
Pension,107167,강원도 삼척시,성수기
Pension,70000,강원도 삼척시,비수기
Motel,50000,강원도 삼척시,비수기
Motel,40000,강원도 삼척시,비수기
Hotel,130034,강원도 속초시,성수기
Hotel,97414,강원도 속초시,비수기
Hotel,186000,강원도 속초시,성수기
Hotel,161068,강원도 속초시,성수기
Hotel,89132,강원도 속초시,비수기
Hotel,108214,강원도 속초시,성수기
Hotel,116482,강원도 속초시,성수기
Pension,105038,강원도 속초시,성수기
Pension,145105,강원도 속초시,성수기
Pension,50000,강원도 속초시,비수기
Pension,74544,강원도 속초시,비수기
